timestamp,attempt,serial,user_input,first_wrong_attempt,last_wrong_attempt,numbers_wrong_attempt,first_wrong_total,last_wrong_total,numbers_wrong_total,speed_ms,source_file
2025-09-23T05:45:55.485031,1,11 83 58 18 45 11 68 19 95 91,95 91 11 83 58,1,1,5,1,1,5,1500,game_log_speedAS.csv
2025-09-23T05:46:21.062836,2,75 4 50 20 7 32 56 54 39 17,39 17 75 4 50 20 7,1,1,7,2,2,12,1500,game_log_speedAS.csv
2025-09-23T05:46:48.120587,3,57 8 43 20 77 83 24 88 61 64,24 88 64 54 21,1,1,5,3,3,17,1500,game_log_speedAS.csv
2025-09-23T05:47:14.687703,4,62 51 95 66 17 25 81 48 25 58,25 58 62 51 95,1,1,5,4,4,22,1500,game_log_speedAS.csv
2025-09-23T05:47:42.112153,5,95 54 25 42 1 21 94 13 38 88,34 88 1 95 24 54,1,1,6,5,5,28,1500,game_log_speedAS.csv
2025-09-23T05:48:01.591109,6,58 50 39 44 24 7 88 32 56 92,36 92 58 50,1,1,4,6,6,32,1000,game_log_speedAS.csv
2025-09-23T05:48:21.813248,7,55 54 58 70 47 25 64 62 37 50,37 50 55 54 58,1,1,5,7,7,37,1000,game_log_speedAS.csv
2025-09-23T05:48:44.725233,8,52 22 21 48 33 99 63 40 5 60,40 5 60 55 52 51,1,1,6,8,8,43,1000,game_log_speedAS.csv
2025-09-23T05:49:06.037416,9,90 86 16 89 81 20 3 88 84 10,88 84 10 90 86 16 3,1,1,6,9,9,49,1000,game_log_speedAS.csv
2025-09-23T05:49:27.316136,10,21 91 77 57 86 37 18 31 70 26,77 26 21 91 77,1,1,5,10,10,54,1000,game_log_speedAS.csv
2025-09-23T05:49:42.328551,11,97 39 76 6 71 47 93 29 22 95,22 95 97 76,1,1,4,11,11,58,500,game_log_speedAS.csv
2025-09-23T05:49:59.251128,12,19 81 98 12 46 53 67 54 63 66,66 94 51,1,1,3,12,12,61,500,game_log_speedAS.csv
2025-09-23T05:50:17.451848,13,20 3 69 52 65 69 55 52 3 7,55 3 7 69 20,1,1,4,13,13,65,500,game_log_speedAS.csv
2025-09-23T05:50:35.397205,14,45 16 32 16 93 49 69 79 82 24,84 24 45 16 32,1,1,4,14,14,69,500,game_log_speedAS.csv
2025-09-23T05:50:49.742480,15,47 16 97 86 67 97 35 87 60 69,60 69 45 16,1,1,4,15,15,73,500,game_log_speedAS.csv
2025-09-24T21:12:25.122778,1,31 92 11 57 42 86 98 18 20 14,98 18 20 14 56 11 31 42 43 44,,1,1,3,1,1,3,1500,game_log_speedRA.csv
2025-09-24T21:13:08.710338,2,99 3 3 61 70 56 31 79 6 76,99 79 77 6 31 19 11 71 42 43,,0,1,6,1,2,9,1500,game_log_speedRA.csv
2025-09-24T21:13:56.567463,3,88 44 29 35 47 1 60 18 63 62,1 60 62 62 44 88 32 18 71 72,,1,1,3,2,3,12,1500,game_log_speedRA.csv
2025-09-24T21:14:43.734848,4,10 8 22 92 91 38 86 35 43 61,43 91 92 61 18 19 20 21 22 23,,1,1,5,3,4,17,1500,game_log_speedRA.csv
2025-09-24T21:15:35.714903,5,79 15 92 20 46 48 36 3 81 79,3 82 20 76 42 43 44 45 46 47,,1,1,7,4,5,24,1500,game_log_speedRA.csv
2025-09-24T21:16:13.898442,6,98 22 87 98 43 73 46 35 44 84,98 44 43 36 32 97 48 53 54 55,,0,1,7,4,6,31,1000,game_log_speedRA.csv
2025-09-24T21:16:48.872421,7,76 98 23 18 2 43 42 95 62 74,2 18 23 32 42 43 74 75 76 77,,1,1,3,5,7,34,1000,game_log_speedRA.csv
2025-09-24T21:17:28.510662,8,89 6 10 90 17 81 99 59 17 4,17 10 17 99 90 30 42 43 44 45,,1,1,5,6,8,39,1000,game_log_speedRA.csv
2025-09-24T21:17:58.487900,9,32 89 35 93 40 65 87 66 59 5,5 32 35 40 69 17 18 19 20 21,,1,1,6,7,9,45,1000,game_log_speedRA.csv
2025-09-24T21:18:35.501717,10,10 10 57 19 43 46 39 28 99 83,83 10 19 43 99 90 34 36 32 31,,1,1,5,8,10,50,1000,game_log_speedRA.csv
2025-09-24T21:19:05.305603,11,61 76 75 11 3 41 34 12 10 32,10 12 32 34 36 37 38 39 42 48,,1,1,6,9,11,56,500,game_log_speedRA.csv
2025-09-24T21:19:39.537844,12,37 96 20 6 30 57 42 18 89 30,20 30 30 42 18 91 92 93 94 95,,1,1,5,10,12,61,500,game_log_speedRA.csv
2025-09-24T21:20:07.770895,13,36 34 84 39 30 51 48 48 21 92,92 34 36 39 31 32 40 72 77 79,,1,1,6,11,13,67,500,game_log_speedRA.csv
2025-09-24T21:20:35.693327,14,2 77 46 71 40 15 59 14 59 45,14 15 2 76 77 78 23 31 32 43,,1,1,6,12,14,73,500,game_log_speedRA.csv
2025-09-24T21:21:05.911389,15,45 61 27 14 40 55 70 48 60 37,40 60 37 18 19 21 22 23 24 25,,1,1,7,13,15,80,500,game_log_speedRA.csv
2025-09-24T20:26:24.826283,1,55 90 57 41 10 8 97 49 78 62,8 10 55 41 78 97 32 64 77 79,,1,1,4,1,1,4,1500,game_log_speedSA.csv
2025-09-24T20:28:07.933343,2,82 98 23 40 93 47 96 66 8 62,92 93 96 8 72 23 32 47 57 36,,1,1,5,2,2,9,1500,game_log_speedSA.csv
2025-09-24T20:29:40.612996,3,49 57 5 8 27 37 13 29 43 29,29 29 43 56 23 61 98 73 78 46,,1,1,7,3,3,16,1500,game_log_speedSA.csv
2025-09-24T20:31:59.818439,4,60 64 11 55 71 63 36 51 43 14,14 43 61 63 64 55 77 84 26 93,,1,1,5,4,4,21,1500,game_log_speedSA.csv
2025-09-24T20:33:16.226740,5,84 2 52 10 66 61 37 88 74 58,58 61 64 2 82 47 52 77 13 37,,1,1,5,5,5,26,1500,game_log_speedSA.csv
2025-09-24T20:34:05.637961,6,54 83 67 27 47 80 41 7 84 9,7 27 47 67 9 81 23 46 94 53,,1,1,5,6,6,31,1000,game_log_speedSA.csv
2025-09-24T20:35:06.128309,7,71 26 26 83 62 5 13 16 25 83,83 83 16 13 5 62 26 25 29 52,,1,1,2,7,7,33,1000,game_log_speedSA.csv
2025-09-24T20:36:05.239520,8,52 21 41 55 34 25 58 56 22 83,25 25 22 82 82 83 27 57 86 48,,1,1,5,8,8,38,1000,game_log_speedSA.csv
2025-09-24T20:36:59.019691,9,68 90 86 77 50 43 94 14 9 80,80 9 14 90 91 68 86 48 35 56,,1,1,4,9,9,42,1000,game_log_speedSA.csv
2025-09-24T20:38:08.294643,10,7 78 28 92 65 8 77 64 61 9,7 8 9 68 61 64 77 42 92 59,,0,1,2,10,10,44,1000,game_log_speedSA.csv
2025-09-24T20:38:53.314320,11,29 50 60 5 66 24 8 43 12 7,7 8 9 50 55 25 26 27 67 34,,1,1,7,11,11,51,500,game_log_speedSA.csv
2025-09-24T20:39:47.378424,12,31 30 87 37 39 51 83 24 38 22,22 24 31 34 37 84 25 27 51 78,,1,1,5,12,12,56,500,game_log_speedSA.csv
2025-09-24T20:40:42.374432,13,50 24 7 6 57 8 61 67 47 84,61 64 67 6 8 9 11 93 23 78,,1,1,6,13,13,62,500,game_log_speedSA.csv
2025-09-24T20:41:29.252115,14,26 8 39 86 1 27 54 85 14 26,26 26 27 7 85 85 57 49 63 54,,0,1,4,14,14,66,500,game_log_speedSA.csv
2025-09-24T20:42:10.516704,15,25 82 3 50 87 51 89 1 50 78,1 3 78 87 84 58 34 19 43 73,,1,1,7,15,15,73,500,game_log_speedSA.csv
2025-09-23T10:04:38.565519,1,21 98 44 2 11 75 96 68 65 41,41 92 56 78 21 2 14 57 86 97,,1,1,10,1,1,10,1500,game_log_speedSO.csv
2025-09-23T10:05:33.540249,2,1 49 25 38 81 62 81 12 31 17,17 1 82 82 45 14 25 9 22 24,,1,1,10,2,2,20,1500,game_log_speedSO.csv
2025-09-23T10:06:22.004434,3,48 34 23 73 69 49 22 5 58 82,82 69 58 9 23 21 45 38 11 2,,1,1,10,3,3,30,1500,game_log_speedSO.csv
2025-09-23T10:07:04.980099,4,5 94 71 75 71 61 72 90 57 24,24 57 90 71 71 72 62 28 9 42,,1,1,9,4,4,39,1500,game_log_speedSO.csv
2025-09-23T10:07:54.243232,5,7 3 32 17 66 91 28 5 43 9,5 9 7 45 58 34 95 23 54 45,,1,1,10,5,5,49,1500,game_log_speedSO.csv
2025-09-23T10:08:54.609507,6,80 55 44 88 30 55 91 61 99 9,9 99 55 55 88 44 61 80 90 12,,1,1,10,6,6,59,1000,game_log_speedSO.csv
2025-09-23T10:09:37.082390,7,20 46 47 67 52 26 75 66 48 7,7 66 66 78 21 27 49 56 86 19,,1,1,10,7,7,69,1000,game_log_speedSO.csv
2025-09-23T10:10:04.661953,8,30 16 57 10 20 8 71 6 2 80,80 2 10 6,,1,1,4,8,8,73,1000,game_log_speedSO.csv
2025-09-23T10:10:41.955887,9,36 70 84 62 7 9 78 68 58 45,45 78 68 58 7 9 89 80 84 85,,1,1,8,9,9,81,1000,game_log_speedSO.csv
2025-09-23T10:11:20.485580,10,41 6 92 76 68 75 95 22 89 10,89 89 10 22 98 78 2 7 40 50,,1,1,10,10,10,91,1000,game_log_speedSO.csv
2025-09-23T10:11:36.686016,11,27 24 51 72 78 89 98 47 47 35,35 47 98 89,,1,1,4,11,11,95,500,game_log_speedSO.csv
2025-09-23T10:11:54.541524,12,84 42 63 75 17 89 20 83 22 41,41 20 22 89 57 83 42,,1,1,7,12,12,102,500,game_log_speedSO.csv
2025-09-23T10:12:30.757186,13,6 26 22 32 44 33 7 69 70 64,7 22 44 33 67 20 15 25 24 27,,1,1,10,13,13,112,500,game_log_speedSO.csv
2025-09-23T10:12:59.809664,14,62 7 2 80 23 60 79 49 36 8,8 79 49 22 7 9 42 17 16 14,,1,1,10,14,14,122,500,game_log_speedSO.csv
2025-09-23T10:13:28.269470,15,13 79 92 76 93 88 99 8 44 71,99 88 4 95 97 49,,1,1,6,15,15,128,500,game_log_speedSO.csv
